GEOID,NAME,moe,population,means_transit,med_inc
36005000100,"Census Tract 1, Bronx County, New York",702,6661,NA,NA
36005000100,"Census Tract 1, Bronx County, New York",18,NA,0,NA
36005000100,"Census Tract 1, Bronx County, New York",NA,NA,NA,NA
36005000200,"Census Tract 2, Bronx County, New York",563,4453,NA,NA
36005000200,"Census Tract 2, Bronx County, New York",424,NA,1664,NA
36005000200,"Census Tract 2, Bronx County, New York",25423,NA,NA,70867
36005000400,"Census Tract 4, Bronx County, New York",903,6000,NA,NA
36005000400,"Census Tract 4, Bronx County, New York",507,NA,3081,NA
36005000400,"Census Tract 4, Bronx County, New York",18180,NA,NA,98090
36005001600,"Census Tract 16, Bronx County, New York",665,6038,NA,NA
36005001600,"Census Tract 16, Bronx County, New York",417,NA,2422,NA
36005001600,"Census Tract 16, Bronx County, New York",9907,NA,NA,40033
36005001901,"Census Tract 19.01, Bronx County, New York",263,2168,NA,NA
36005001901,"Census Tract 19.01, Bronx County, New York",247,NA,1134,NA
36005001901,"Census Tract 19.01, Bronx County, New York",12028,NA,NA,55924
36005001902,"Census Tract 19.02, Bronx County, New York",403,1399,NA,NA
36005001902,"Census Tract 19.02, Bronx County, New York",164,NA,518,NA
36005001902,"Census Tract 19.02, Bronx County, New York",12156,NA,NA,60804
36005001903,"Census Tract 19.03, Bronx County, New York",13,0,0,NA
36005001903,"Census Tract 19.03, Bronx County, New York",NA,NA,NA,NA
36005001904,"Census Tract 19.04, Bronx County, New York",13,0,0,NA
36005001904,"Census Tract 19.04, Bronx County, New York",NA,NA,NA,NA
36005002001,"Census Tract 20.01, Bronx County, New York",884,4694,NA,NA
36005002001,"Census Tract 20.01, Bronx County, New York",421,NA,1253,NA
36005002001,"Census Tract 20.01, Bronx County, New York",10614,NA,NA,20870
36005002002,"Census Tract 20.02, Bronx County, New York",1037,4274,NA,NA
36005002002,"Census Tract 20.02, Bronx County, New York",602,NA,1655,NA
36005002002,"Census Tract 20.02, Bronx County, New York",NA,NA,NA,NA
36005002300,"Census Tract 23, Bronx County, New York",642,4465,NA,NA
36005002300,"Census Tract 23, Bronx County, New York",342,NA,1315,NA
36005002300,"Census Tract 23, Bronx County, New York",7257,NA,NA,22177
36005002400,"Census Tract 24, Bronx County, New York",13,0,0,NA
36005002400,"Census Tract 24, Bronx County, New York",NA,NA,NA,NA
36005002500,"Census Tract 25, Bronx County, New York",679,5662,NA,NA
36005002500,"Census Tract 25, Bronx County, New York",415,NA,1940,NA
36005002500,"Census Tract 25, Bronx County, New York",9864,NA,NA,25954
36005002701,"Census Tract 27.01, Bronx County, New York",583,2938,NA,NA
36005002701,"Census Tract 27.01, Bronx County, New York",203,NA,769,NA
36005002701,"Census Tract 27.01, Bronx County, New York",3057,NA,NA,18686
36005002702,"Census Tract 27.02, Bronx County, New York",699,4413,NA,NA
36005002702,"Census Tract 27.02, Bronx County, New York",260,NA,1191,NA
36005002702,"Census Tract 27.02, Bronx County, New York",12224,NA,NA,14681
36005002800,"Census Tract 28, Bronx County, New York",827,5372,NA,NA
36005002800,"Census Tract 28, Bronx County, New York",523,NA,2503,NA
36005002800,"Census Tract 28, Bronx County, New York",10891,NA,NA,54321
36005003100,"Census Tract 31, Bronx County, New York",430,2165,NA,NA
36005003100,"Census Tract 31, Bronx County, New York",269,NA,971,NA
36005003100,"Census Tract 31, Bronx County, New York",16573,NA,NA,34276
36005003300,"Census Tract 33, Bronx County, New York",760,3339,NA,NA
36005003300,"Census Tract 33, Bronx County, New York",202,NA,766,NA
36005003300,"Census Tract 33, Bronx County, New York",12453,NA,NA,20129
36005003500,"Census Tract 35, Bronx County, New York",899,3880,NA,NA
36005003500,"Census Tract 35, Bronx County, New York",194,NA,1229,NA
36005003500,"Census Tract 35, Bronx County, New York",2860,NA,NA,30793
36005003700,"Census Tract 37, Bronx County, New York",83,277,NA,NA
36005003700,"Census Tract 37, Bronx County, New York",63,NA,132,NA
36005003700,"Census Tract 37, Bronx County, New York",30214,NA,NA,37321
36005003800,"Census Tract 38, Bronx County, New York",153,1313,NA,NA
36005003800,"Census Tract 38, Bronx County, New York",114,NA,514,NA
36005003800,"Census Tract 38, Bronx County, New York",31789,NA,NA,83295
36005003900,"Census Tract 39, Bronx County, New York",1226,6710,NA,NA
36005003900,"Census Tract 39, Bronx County, New York",681,NA,2384,NA
36005003900,"Census Tract 39, Bronx County, New York",9732,NA,NA,20049
36005004001,"Census Tract 40.01, Bronx County, New York",320,1574,NA,NA
36005004001,"Census Tract 40.01, Bronx County, New York",165,NA,614,NA
36005004001,"Census Tract 40.01, Bronx County, New York",15215,NA,NA,64087
36005004100,"Census Tract 41, Bronx County, New York",1391,5798,NA,NA
36005004100,"Census Tract 41, Bronx County, New York",545,NA,2015,NA
36005004100,"Census Tract 41, Bronx County, New York",6544,NA,NA,20551
36005004200,"Census Tract 42, Bronx County, New York",987,7803,NA,NA
36005004200,"Census Tract 42, Bronx County, New York",758,NA,3182,NA
36005004200,"Census Tract 42, Bronx County, New York",32071,NA,NA,57250
36005004300,"Census Tract 43, Bronx County, New York",694,5527,NA,NA
36005004300,"Census Tract 43, Bronx County, New York",372,NA,1819,NA
36005004300,"Census Tract 43, Bronx County, New York",7655,NA,NA,25534
36005004400,"Census Tract 44, Bronx County, New York",503,4551,NA,NA
36005004400,"Census Tract 44, Bronx County, New York",288,NA,1007,NA
36005004400,"Census Tract 44, Bronx County, New York",3188,NA,NA,15750
36005004600,"Census Tract 46, Bronx County, New York",365,1826,NA,NA
36005004600,"Census Tract 46, Bronx County, New York",116,NA,565,NA
36005004600,"Census Tract 46, Bronx County, New York",11846,NA,NA,29145
36005004800,"Census Tract 48, Bronx County, New York",606,4464,NA,NA
36005004800,"Census Tract 48, Bronx County, New York",343,NA,1716,NA
36005004800,"Census Tract 48, Bronx County, New York",18974,NA,NA,33500
36005005001,"Census Tract 50.01, Bronx County, New York",630,4304,NA,NA
36005005001,"Census Tract 50.01, Bronx County, New York",274,NA,1221,NA
36005005001,"Census Tract 50.01, Bronx County, New York",4831,NA,NA,28353
36005005002,"Census Tract 50.02, Bronx County, New York",1051,6393,NA,NA
36005005002,"Census Tract 50.02, Bronx County, New York",291,NA,1792,NA
36005005002,"Census Tract 50.02, Bronx County, New York",9630,NA,NA,34013
36005005100,"Census Tract 51, Bronx County, New York",1101,6087,NA,NA
36005005100,"Census Tract 51, Bronx County, New York",286,NA,1526,NA
36005005100,"Census Tract 51, Bronx County, New York",2822,NA,NA,19731
36005005200,"Census Tract 52, Bronx County, New York",269,1833,NA,NA
36005005200,"Census Tract 52, Bronx County, New York",149,NA,674,NA
36005005200,"Census Tract 52, Bronx County, New York",10292,NA,NA,21397
36005005300,"Census Tract 53, Bronx County, New York",709,5472,NA,NA
36005005300,"Census Tract 53, Bronx County, New York",527,NA,1374,NA
36005005300,"Census Tract 53, Bronx County, New York",4459,NA,NA,20449
36005005400,"Census Tract 54, Bronx County, New York",820,5638,NA,NA
36005005400,"Census Tract 54, Bronx County, New York",333,NA,2057,NA
36005005400,"Census Tract 54, Bronx County, New York",7008,NA,NA,45625
36005005600,"Census Tract 56, Bronx County, New York",352,2168,NA,NA
36005005600,"Census Tract 56, Bronx County, New York",269,NA,830,NA
36005005600,"Census Tract 56, Bronx County, New York",18035,NA,NA,40341
36005005902,"Census Tract 59.02, Bronx County, New York",480,2730,NA,NA
36005005902,"Census Tract 59.02, Bronx County, New York",282,NA,1261,NA
36005005902,"Census Tract 59.02, Bronx County, New York",19979,NA,NA,44917
36005006000,"Census Tract 60, Bronx County, New York",363,1295,NA,NA
36005006000,"Census Tract 60, Bronx County, New York",169,NA,437,NA
36005006000,"Census Tract 60, Bronx County, New York",8749,NA,NA,34239
36005006100,"Census Tract 61, Bronx County, New York",628,3955,NA,NA
36005006100,"Census Tract 61, Bronx County, New York",418,NA,2005,NA
36005006100,"Census Tract 61, Bronx County, New York",19980,NA,NA,60685
36005006200,"Census Tract 62, Bronx County, New York",809,6710,NA,NA
36005006200,"Census Tract 62, Bronx County, New York",572,NA,1921,NA
36005006200,"Census Tract 62, Bronx County, New York",9198,NA,NA,24769
36005006301,"Census Tract 63.01, Bronx County, New York",793,5521,NA,NA
36005006301,"Census Tract 63.01, Bronx County, New York",783,NA,2926,NA
36005006301,"Census Tract 63.01, Bronx County, New York",9427,NA,NA,50273
36005006302,"Census Tract 63.02, Bronx County, New York",13,0,0,NA
36005006302,"Census Tract 63.02, Bronx County, New York",NA,NA,NA,NA
36005006400,"Census Tract 64, Bronx County, New York",578,4061,NA,NA
36005006400,"Census Tract 64, Bronx County, New York",294,NA,1289,NA
36005006400,"Census Tract 64, Bronx County, New York",12605,NA,NA,35144
36005006500,"Census Tract 65, Bronx County, New York",908,5681,NA,NA
36005006500,"Census Tract 65, Bronx County, New York",399,NA,1845,NA
36005006500,"Census Tract 65, Bronx County, New York",5408,NA,NA,21962
36005006700,"Census Tract 67, Bronx County, New York",1404,6993,NA,NA
36005006700,"Census Tract 67, Bronx County, New York",627,NA,2520,NA
36005006700,"Census Tract 67, Bronx County, New York",3536,NA,NA,15957
36005006800,"Census Tract 68, Bronx County, New York",569,2765,NA,NA
36005006800,"Census Tract 68, Bronx County, New York",238,NA,785,NA
36005006800,"Census Tract 68, Bronx County, New York",17802,NA,NA,38125
36005006900,"Census Tract 69, Bronx County, New York",1030,7255,NA,NA
36005006900,"Census Tract 69, Bronx County, New York",346,NA,2168,NA
36005006900,"Census Tract 69, Bronx County, New York",16998,NA,NA,32887
36005007000,"Census Tract 70, Bronx County, New York",645,4235,NA,NA
36005007000,"Census Tract 70, Bronx County, New York",288,NA,1477,NA
36005007000,"Census Tract 70, Bronx County, New York",16040,NA,NA,53014
36005007100,"Census Tract 71, Bronx County, New York",386,2827,NA,NA
36005007100,"Census Tract 71, Bronx County, New York",216,NA,1216,NA
36005007100,"Census Tract 71, Bronx County, New York",5858,NA,NA,43079
36005007200,"Census Tract 72, Bronx County, New York",959,6430,NA,NA
36005007200,"Census Tract 72, Bronx County, New York",425,NA,2316,NA
36005007200,"Census Tract 72, Bronx County, New York",13340,NA,NA,54097
36005007300,"Census Tract 73, Bronx County, New York",662,4301,NA,NA
36005007300,"Census Tract 73, Bronx County, New York",271,NA,1279,NA
36005007300,"Census Tract 73, Bronx County, New York",6243,NA,NA,25619
36005007400,"Census Tract 74, Bronx County, New York",578,3078,NA,NA
36005007400,"Census Tract 74, Bronx County, New York",251,NA,1159,NA
36005007400,"Census Tract 74, Bronx County, New York",10469,NA,NA,37352
36005007500,"Census Tract 75, Bronx County, New York",915,6295,NA,NA
36005007500,"Census Tract 75, Bronx County, New York",469,NA,2246,NA
36005007500,"Census Tract 75, Bronx County, New York",10065,NA,NA,30413
36005007600,"Census Tract 76, Bronx County, New York",795,5293,NA,NA
36005007600,"Census Tract 76, Bronx County, New York",352,NA,2058,NA
36005007600,"Census Tract 76, Bronx County, New York",16248,NA,NA,51625
36005007700,"Census Tract 77, Bronx County, New York",536,2165,NA,NA
36005007700,"Census Tract 77, Bronx County, New York",357,NA,966,NA
36005007700,"Census Tract 77, Bronx County, New York",14767,NA,NA,48333
36005007800,"Census Tract 78, Bronx County, New York",773,6301,NA,NA
36005007800,"Census Tract 78, Bronx County, New York",445,NA,2518,NA
36005007800,"Census Tract 78, Bronx County, New York",10950,NA,NA,54615
36005007900,"Census Tract 79, Bronx County, New York",963,7157,NA,NA
36005007900,"Census Tract 79, Bronx County, New York",702,NA,2142,NA
36005007900,"Census Tract 79, Bronx County, New York",12954,NA,NA,22534
36005008300,"Census Tract 83, Bronx County, New York",913,6121,NA,NA
36005008300,"Census Tract 83, Bronx County, New York",400,NA,2483,NA
36005008300,"Census Tract 83, Bronx County, New York",4187,NA,NA,42386
36005008400,"Census Tract 84, Bronx County, New York",625,3290,NA,NA
36005008400,"Census Tract 84, Bronx County, New York",516,NA,1436,NA
36005008400,"Census Tract 84, Bronx County, New York",26780,NA,NA,66373
36005008500,"Census Tract 85, Bronx County, New York",719,5706,NA,NA
36005008500,"Census Tract 85, Bronx County, New York",300,NA,1691,NA
36005008500,"Census Tract 85, Bronx County, New York",11020,NA,NA,33065
36005008600,"Census Tract 86, Bronx County, New York",882,4134,NA,NA
36005008600,"Census Tract 86, Bronx County, New York",276,NA,1167,NA
36005008600,"Census Tract 86, Bronx County, New York",8900,NA,NA,25608
36005008700,"Census Tract 87, Bronx County, New York",821,6328,NA,NA
36005008700,"Census Tract 87, Bronx County, New York",563,NA,2348,NA
36005008700,"Census Tract 87, Bronx County, New York",11747,NA,NA,30357
36005008900,"Census Tract 89, Bronx County, New York",451,3197,NA,NA
36005008900,"Census Tract 89, Bronx County, New York",332,NA,1347,NA
36005008900,"Census Tract 89, Bronx County, New York",8937,NA,NA,29599
36005009000,"Census Tract 90, Bronx County, New York",610,3693,NA,NA
36005009000,"Census Tract 90, Bronx County, New York",250,NA,1115,NA
36005009000,"Census Tract 90, Bronx County, New York",5699,NA,NA,30953
36005009200,"Census Tract 92, Bronx County, New York",792,6122,NA,NA
36005009200,"Census Tract 92, Bronx County, New York",409,NA,2674,NA
36005009200,"Census Tract 92, Bronx County, New York",10584,NA,NA,54924
36005009301,"Census Tract 93.01, Bronx County, New York",943,4928,NA,NA
36005009301,"Census Tract 93.01, Bronx County, New York",540,NA,1799,NA
36005009301,"Census Tract 93.01, Bronx County, New York",9893,NA,NA,39606
36005009302,"Census Tract 93.02, Bronx County, New York",163,566,NA,NA
36005009302,"Census Tract 93.02, Bronx County, New York",13,NA,0,NA
36005009302,"Census Tract 93.02, Bronx County, New York",NA,NA,NA,NA
36005009600,"Census Tract 96, Bronx County, New York",385,2762,NA,NA
36005009600,"Census Tract 96, Bronx County, New York",164,NA,984,NA
36005009600,"Census Tract 96, Bronx County, New York",10878,NA,NA,49638
36005009800,"Census Tract 98, Bronx County, New York",714,4818,NA,NA
36005009800,"Census Tract 98, Bronx County, New York",357,NA,1970,NA
36005009800,"Census Tract 98, Bronx County, New York",10155,NA,NA,73622
36005011000,"Census Tract 110, Bronx County, New York",13,0,0,NA
36005011000,"Census Tract 110, Bronx County, New York",NA,NA,NA,NA
36005011502,"Census Tract 115.02, Bronx County, New York",767,4210,NA,NA
36005011502,"Census Tract 115.02, Bronx County, New York",403,NA,1292,NA
36005011502,"Census Tract 115.02, Bronx County, New York",8231,NA,NA,23791
36005011701,"Census Tract 117.01, Bronx County, New York",286,1608,NA,NA
36005011701,"Census Tract 117.01, Bronx County, New York",103,NA,558,NA
36005011701,"Census Tract 117.01, Bronx County, New York",16351,NA,NA,37781
36005011702,"Census Tract 117.02, Bronx County, New York",13,0,0,NA
36005011702,"Census Tract 117.02, Bronx County, New York",NA,NA,NA,NA
36005011800,"Census Tract 118, Bronx County, New York",764,6041,NA,NA
36005011800,"Census Tract 118, Bronx County, New York",456,NA,2189,NA
36005011800,"Census Tract 118, Bronx County, New York",20484,NA,NA,101875
36005011900,"Census Tract 119, Bronx County, New York",1055,6193,NA,NA
36005011900,"Census Tract 119, Bronx County, New York",574,NA,2264,NA
36005011900,"Census Tract 119, Bronx County, New York",6069,NA,NA,32007
36005012101,"Census Tract 121.01, Bronx County, New York",452,3267,NA,NA
36005012101,"Census Tract 121.01, Bronx County, New York",225,NA,1427,NA
36005012101,"Census Tract 121.01, Bronx County, New York",7333,NA,NA,48152
36005012102,"Census Tract 121.02, Bronx County, New York",288,1463,NA,NA
36005012102,"Census Tract 121.02, Bronx County, New York",159,NA,551,NA
36005012102,"Census Tract 121.02, Bronx County, New York",8135,NA,NA,27281
36005012300,"Census Tract 123, Bronx County, New York",949,4582,NA,NA
36005012300,"Census Tract 123, Bronx County, New York",528,NA,2155,NA
36005012300,"Census Tract 123, Bronx County, New York",9772,NA,NA,39258
36005012500,"Census Tract 125, Bronx County, New York",608,4014,NA,NA
36005012500,"Census Tract 125, Bronx County, New York",349,NA,1749,NA
36005012500,"Census Tract 125, Bronx County, New York",15894,NA,NA,45966
36005012701,"Census Tract 127.01, Bronx County, New York",603,2207,NA,NA
36005012701,"Census Tract 127.01, Bronx County, New York",234,NA,862,NA
36005012701,"Census Tract 127.01, Bronx County, New York",16044,NA,NA,34960
36005012901,"Census Tract 129.01, Bronx County, New York",869,4961,NA,NA
36005012901,"Census Tract 129.01, Bronx County, New York",423,NA,1625,NA
36005012901,"Census Tract 129.01, Bronx County, New York",8410,NA,NA,34329
36005013000,"Census Tract 130, Bronx County, New York",440,1297,NA,NA
36005013000,"Census Tract 130, Bronx County, New York",255,NA,657,NA
36005013000,"Census Tract 130, Bronx County, New York",22188,NA,NA,55333
36005013100,"Census Tract 131, Bronx County, New York",670,5252,NA,NA
36005013100,"Census Tract 131, Bronx County, New York",429,NA,2006,NA
36005013100,"Census Tract 131, Bronx County, New York",12848,NA,NA,25227
36005013200,"Census Tract 132, Bronx County, New York",997,7288,NA,NA
36005013200,"Census Tract 132, Bronx County, New York",761,NA,3727,NA
36005013200,"Census Tract 132, Bronx County, New York",30880,NA,NA,122179
36005013300,"Census Tract 133, Bronx County, New York",1186,6236,NA,NA
36005013300,"Census Tract 133, Bronx County, New York",646,NA,2544,NA
36005013300,"Census Tract 133, Bronx County, New York",6541,NA,NA,32326
36005013500,"Census Tract 135, Bronx County, New York",681,3492,NA,NA
36005013500,"Census Tract 135, Bronx County, New York",418,NA,1172,NA
36005013500,"Census Tract 135, Bronx County, New York",16404,NA,NA,17385
36005013800,"Census Tract 138, Bronx County, New York",513,3077,NA,NA
36005013800,"Census Tract 138, Bronx County, New York",314,NA,1352,NA
36005013800,"Census Tract 138, Bronx County, New York",9636,NA,NA,81164
36005014100,"Census Tract 141, Bronx County, New York",668,6384,NA,NA
36005014100,"Census Tract 141, Bronx County, New York",361,NA,2560,NA
36005014100,"Census Tract 141, Bronx County, New York",5281,NA,NA,33064
36005014300,"Census Tract 143, Bronx County, New York",293,1579,NA,NA
36005014300,"Census Tract 143, Bronx County, New York",134,NA,480,NA
36005014300,"Census Tract 143, Bronx County, New York",4239,NA,NA,16196
36005014400,"Census Tract 144, Bronx County, New York",1070,5781,NA,NA
36005014400,"Census Tract 144, Bronx County, New York",468,NA,1606,NA
36005014400,"Census Tract 144, Bronx County, New York",8561,NA,NA,18906
36005014500,"Census Tract 145, Bronx County, New York",1445,7002,NA,NA
36005014500,"Census Tract 145, Bronx County, New York",549,NA,2016,NA
36005014500,"Census Tract 145, Bronx County, New York",8362,NA,NA,32074
36005014701,"Census Tract 147.01, Bronx County, New York",1411,5864,NA,NA
36005014701,"Census Tract 147.01, Bronx County, New York",672,NA,1889,NA
36005014701,"Census Tract 147.01, Bronx County, New York",10179,NA,NA,24279
36005014702,"Census Tract 147.02, Bronx County, New York",845,5157,NA,NA
36005014702,"Census Tract 147.02, Bronx County, New York",516,NA,1366,NA
36005014702,"Census Tract 147.02, Bronx County, New York",10267,NA,NA,18033
36005014900,"Census Tract 149, Bronx County, New York",1184,4708,NA,NA
36005014900,"Census Tract 149, Bronx County, New York",359,NA,1552,NA
36005014900,"Census Tract 149, Bronx County, New York",10698,NA,NA,24375
36005015100,"Census Tract 151, Bronx County, New York",912,5311,NA,NA
36005015100,"Census Tract 151, Bronx County, New York",448,NA,2006,NA
36005015100,"Census Tract 151, Bronx County, New York",4901,NA,NA,27135
36005015200,"Census Tract 152, Bronx County, New York",387,2565,NA,NA
36005015200,"Census Tract 152, Bronx County, New York",226,NA,1181,NA
36005015200,"Census Tract 152, Bronx County, New York",14098,NA,NA,78425
36005015300,"Census Tract 153, Bronx County, New York",751,4226,NA,NA
36005015300,"Census Tract 153, Bronx County, New York",257,NA,1358,NA
36005015300,"Census Tract 153, Bronx County, New York",20109,NA,NA,32060
36005015500,"Census Tract 155, Bronx County, New York",625,3089,NA,NA
36005015500,"Census Tract 155, Bronx County, New York",296,NA,1129,NA
36005015500,"Census Tract 155, Bronx County, New York",10014,NA,NA,35559
36005015700,"Census Tract 157, Bronx County, New York",762,5155,NA,NA
36005015700,"Census Tract 157, Bronx County, New York",582,NA,2057,NA
36005015700,"Census Tract 157, Bronx County, New York",6171,NA,NA,37600
36005015800,"Census Tract 158, Bronx County, New York",330,1423,NA,NA
36005015800,"Census Tract 158, Bronx County, New York",161,NA,607,NA
36005015800,"Census Tract 158, Bronx County, New York",15138,NA,NA,59375
36005015900,"Census Tract 159, Bronx County, New York",562,2164,NA,NA
36005015900,"Census Tract 159, Bronx County, New York",417,NA,960,NA
36005015900,"Census Tract 159, Bronx County, New York",23675,NA,NA,28611
36005016000,"Census Tract 160, Bronx County, New York",686,3891,NA,NA
36005016000,"Census Tract 160, Bronx County, New York",457,NA,1914,NA
36005016000,"Census Tract 160, Bronx County, New York",13672,NA,NA,86517
36005016100,"Census Tract 161, Bronx County, New York",731,4787,NA,NA
36005016100,"Census Tract 161, Bronx County, New York",399,NA,1623,NA
36005016100,"Census Tract 161, Bronx County, New York",3328,NA,NA,19599
36005016200,"Census Tract 162, Bronx County, New York",360,1712,NA,NA
36005016200,"Census Tract 162, Bronx County, New York",148,NA,675,NA
36005016200,"Census Tract 162, Bronx County, New York",19994,NA,NA,85909
36005016300,"Census Tract 163, Bronx County, New York",13,0,0,NA
36005016300,"Census Tract 163, Bronx County, New York",NA,NA,NA,NA
36005016400,"Census Tract 164, Bronx County, New York",201,1074,NA,NA
36005016400,"Census Tract 164, Bronx County, New York",54,NA,377,NA
36005016400,"Census Tract 164, Bronx County, New York",17662,NA,NA,66681
36005016500,"Census Tract 165, Bronx County, New York",221,1074,NA,NA
36005016500,"Census Tract 165, Bronx County, New York",115,NA,390,NA
36005016500,"Census Tract 165, Bronx County, New York",19867,NA,NA,35156
36005016600,"Census Tract 166, Bronx County, New York",360,2397,NA,NA
36005016600,"Census Tract 166, Bronx County, New York",158,NA,1098,NA
36005016600,"Census Tract 166, Bronx County, New York",16387,NA,NA,95372
36005016700,"Census Tract 167, Bronx County, New York",474,3822,NA,NA
36005016700,"Census Tract 167, Bronx County, New York",312,NA,1386,NA
36005016700,"Census Tract 167, Bronx County, New York",11796,NA,NA,46481
36005016900,"Census Tract 169, Bronx County, New York",329,1729,NA,NA
36005016900,"Census Tract 169, Bronx County, New York",174,NA,664,NA
36005016900,"Census Tract 169, Bronx County, New York",7447,NA,NA,45273
36005017100,"Census Tract 171, Bronx County, New York",13,0,0,NA
36005017100,"Census Tract 171, Bronx County, New York",NA,NA,NA,NA
36005017300,"Census Tract 173, Bronx County, New York",890,6373,NA,NA
36005017300,"Census Tract 173, Bronx County, New York",534,NA,1964,NA
36005017300,"Census Tract 173, Bronx County, New York",16284,NA,NA,29063
36005017500,"Census Tract 175, Bronx County, New York",1111,6768,NA,NA
36005017500,"Census Tract 175, Bronx County, New York",484,NA,2080,NA
36005017500,"Census Tract 175, Bronx County, New York",6336,NA,NA,25767
36005017701,"Census Tract 177.01, Bronx County, New York",749,4554,NA,NA
36005017701,"Census Tract 177.01, Bronx County, New York",543,NA,1795,NA
36005017701,"Census Tract 177.01, Bronx County, New York",19306,NA,NA,33428
36005017702,"Census Tract 177.02, Bronx County, New York",913,5412,NA,NA
36005017702,"Census Tract 177.02, Bronx County, New York",373,NA,2036,NA
36005017702,"Census Tract 177.02, Bronx County, New York",10742,NA,NA,42262
36005017901,"Census Tract 179.01, Bronx County, New York",824,4751,NA,NA
36005017901,"Census Tract 179.01, Bronx County, New York",492,NA,1981,NA
36005017901,"Census Tract 179.01, Bronx County, New York",14613,NA,NA,42774
36005017902,"Census Tract 179.02, Bronx County, New York",837,4138,NA,NA
36005017902,"Census Tract 179.02, Bronx County, New York",331,NA,1677,NA
36005017902,"Census Tract 179.02, Bronx County, New York",5520,NA,NA,36614
36005018101,"Census Tract 181.01, Bronx County, New York",838,3502,NA,NA
36005018101,"Census Tract 181.01, Bronx County, New York",389,NA,1428,NA
36005018101,"Census Tract 181.01, Bronx County, New York",22142,NA,NA,48464
36005018102,"Census Tract 181.02, Bronx County, New York",885,5695,NA,NA
36005018102,"Census Tract 181.02, Bronx County, New York",503,NA,2080,NA
36005018102,"Census Tract 181.02, Bronx County, New York",15076,NA,NA,30063
36005018301,"Census Tract 183.01, Bronx County, New York",616,4657,NA,NA
36005018301,"Census Tract 183.01, Bronx County, New York",351,NA,1907,NA
36005018301,"Census Tract 183.01, Bronx County, New York",14178,NA,NA,43350
36005018302,"Census Tract 183.02, Bronx County, New York",637,3546,NA,NA
36005018302,"Census Tract 183.02, Bronx County, New York",461,NA,1928,NA
36005018302,"Census Tract 183.02, Bronx County, New York",17448,NA,NA,57180
36005018400,"Census Tract 184, Bronx County, New York",747,4057,NA,NA
36005018400,"Census Tract 184, Bronx County, New York",454,NA,2012,NA
36005018400,"Census Tract 184, Bronx County, New York",28562,NA,NA,105052
36005018501,"Census Tract 185.01, Bronx County, New York",713,3069,NA,NA
36005018501,"Census Tract 185.01, Bronx County, New York",597,NA,1503,NA
36005018501,"Census Tract 185.01, Bronx County, New York",21371,NA,NA,47826
36005018502,"Census Tract 185.02, Bronx County, New York",962,6503,NA,NA
36005018502,"Census Tract 185.02, Bronx County, New York",391,NA,1499,NA
36005018502,"Census Tract 185.02, Bronx County, New York",5453,NA,NA,23508
36005018900,"Census Tract 189, Bronx County, New York",1150,8311,NA,NA
36005018900,"Census Tract 189, Bronx County, New York",542,NA,3159,NA
36005018900,"Census Tract 189, Bronx County, New York",13671,NA,NA,36087
36005019300,"Census Tract 193, Bronx County, New York",926,7126,NA,NA
36005019300,"Census Tract 193, Bronx County, New York",792,NA,2791,NA
36005019300,"Census Tract 193, Bronx County, New York",5925,NA,NA,35291
36005019400,"Census Tract 194, Bronx County, New York",377,2162,NA,NA
36005019400,"Census Tract 194, Bronx County, New York",219,NA,964,NA
36005019400,"Census Tract 194, Bronx County, New York",13509,NA,NA,63452
36005019500,"Census Tract 195, Bronx County, New York",1193,7766,NA,NA
36005019500,"Census Tract 195, Bronx County, New York",630,NA,2980,NA
36005019500,"Census Tract 195, Bronx County, New York",17121,NA,NA,44323
36005019700,"Census Tract 197, Bronx County, New York",1085,7479,NA,NA
36005019700,"Census Tract 197, Bronx County, New York",713,NA,2882,NA
36005019700,"Census Tract 197, Bronx County, New York",19211,NA,NA,31008
36005019900,"Census Tract 199, Bronx County, New York",1221,7899,NA,NA
36005019900,"Census Tract 199, Bronx County, New York",546,NA,3440,NA
36005019900,"Census Tract 199, Bronx County, New York",12282,NA,NA,37080
36005020000,"Census Tract 200, Bronx County, New York",664,5147,NA,NA
36005020000,"Census Tract 200, Bronx County, New York",310,NA,1936,NA
36005020000,"Census Tract 200, Bronx County, New York",4996,NA,NA,41250
36005020100,"Census Tract 201, Bronx County, New York",633,3772,NA,NA
36005020100,"Census Tract 201, Bronx County, New York",206,NA,1139,NA
36005020100,"Census Tract 201, Bronx County, New York",9643,NA,NA,38235
36005020200,"Census Tract 202, Bronx County, New York",362,2372,NA,NA
36005020200,"Census Tract 202, Bronx County, New York",184,NA,1116,NA
36005020200,"Census Tract 202, Bronx County, New York",5960,NA,NA,48204
36005020400,"Census Tract 204, Bronx County, New York",615,3431,NA,NA
36005020400,"Census Tract 204, Bronx County, New York",237,NA,1287,NA
36005020400,"Census Tract 204, Bronx County, New York",15828,NA,NA,57159
36005020501,"Census Tract 205.01, Bronx County, New York",1252,7267,NA,NA
36005020501,"Census Tract 205.01, Bronx County, New York",415,NA,2124,NA
36005020501,"Census Tract 205.01, Bronx County, New York",4008,NA,NA,19147
36005020502,"Census Tract 205.02, Bronx County, New York",340,2515,NA,NA
36005020502,"Census Tract 205.02, Bronx County, New York",212,NA,1204,NA
36005020502,"Census Tract 205.02, Bronx County, New York",18137,NA,NA,37946
36005020601,"Census Tract 206.01, Bronx County, New York",538,2425,NA,NA
